,english,spanish,en_poss,en_tags,es_poss,es_tags
756,She always talks only about herself.,"Oh, me olvidé totalmente.",PRON ADV VERB ADV ADP PRON PUNCT ,PRP RB VBZ RB IN PRP . ,INTJ PUNCT PRON VERB ADV PUNCT ,"UH , PRP VBP RB . "
757,Don't ask me over and over again.,Ella habla solamente sobre ella misma.,VERB ADV VERB PRON PART CCONJ ADV ADV PUNCT ,VB RB VB PRP RP CC RB RB . ,PRON VERB ADV ADP PRON ADJ PUNCT ,PRP VBZ RB IN PRP JJ . 
758,I always sleep on my side.,No preguntes lo mismo constantemente.,PRON ADV VERB ADP DET NOUN PUNCT ,PRP RB VBP IN PRP$ NN . ,ADV VERB DET PRON ADV PUNCT ,RB VBD DT DT RB . 
759,Do you have problems with your car again?,Yo duermo siempre de costasdo.,VERB PRON VERB NOUN ADP DET NOUN ADV PUNCT ,VBP PRP VB NNS IN PRP$ NN RB . ,PRON VERB ADV ADP NOUN PUNCT ,PRP VBP RB IN NNS . 
760,I grew up in the countryside.,¿El coche tiene otra vez problemas?,PRON VERB PART ADP DET NOUN PUNCT ,PRP VBD RP IN DT NN . ,PUNCT DET NOUN VERB DET NOUN NOUN PUNCT ,. DT NN VBZ DT NN NNS . 
761,Is this seat taken?,Yo  crecí en el campo.,VERB DET NOUN VERB PUNCT ,VBZ DT NN VBN . ,PRON SPACE ADJ ADP DET NOUN PUNCT ,PRP _SP JJ IN DT NN . 
762,"Socrates said, 'Know yourself.'",¿Hay lugar aquí?,PROPN VERB PUNCT PUNCT VERB PRON PUNCT PUNCT ,"NNP VBD , '' VB PRP . '' ",PUNCT AUX NOUN ADV PUNCT ,. VBZ NN RB . 
763,Don't be shy. Just act natural.,"Socrates dijo, “conócete a ti mismo. ”",VERB ADV VERB ADJ PUNCT ADV VERB ADJ PUNCT ,VB RB VB JJ . RB VB JJ . ,PROPN VERB PUNCT PROPN VERB ADP DET DET PUNCT PUNCT ,"NNP VBD , NNP VBZ IN PRP$ DT . '' "
764,Do you feel you lost your freedom after getting married?,No seas tímido. Actuá de forma natural.,VERB PRON VERB PRON VERB DET NOUN ADP VERB VERB PUNCT ,VBP PRP VB PRP VBD PRP$ NN IN VBG VBN . ,ADV VERB ADJ PUNCT PROPN ADP NOUN ADJ PUNCT ,RB VBP JJ . NNP IN NN JJ . 
765,Jajangmyeon is a very popular Chinese dish.,¿Siente que ha perdido la livertad después de haberse casado?,PROPN VERB DET ADV ADJ ADJ NOUN PUNCT ,NNP VBZ DT RB JJ JJ NN . ,PUNCT VERB SCONJ AUX VERB DET NOUN ADV ADP AUX VERB PUNCT ,. VBZ IN VBZ VBN DT NN RB IN TO VB VBN . 
766,Can I ride my bicycle outside?,Jajangmyeon es un plato chino muy popular.,VERB PRON VERB DET NOUN ADV PUNCT ,MD PRP VB PRP$ NN RB . ,PROPN AUX DET NOUN ADJ ADV ADJ PUNCT ,NNP VBZ DT NN JJ RB JJ . 
767,Do you often go to the movies?,¿Puedo andar en bicicleta afuera?,VERB PRON ADV VERB ADP DET NOUN PUNCT ,VBP PRP RB VB IN DT NNS . ,PUNCT AUX VERB ADP NOUN VERB PUNCT ,. VBP TO VB IN NN VBD . 
768,"You graduated last year, didn't you?",¿Va a menudo a ver películas?,PRON VERB ADJ NOUN PUNCT VERB ADV PRON PUNCT ,"PRP VBD JJ NN , VBD RB PRP . ",PUNCT AUX ADP NOUN ADP VERB NOUN PUNCT ,. VBZ IN NNP IN TO VB NNS . 
769,Two big suitcases and a small one.,"¿Te graduastes el año pasado, no?",NUM ADJ NOUN CCONJ DET ADJ NOUN PUNCT ,CD JJ NNS CC DT JJ NN . ,PUNCT VERB NOUN DET NOUN ADJ PUNCT ADV PUNCT ,". VBP NNS DT NNP JJ , RB . "
770,Would you like a cup of coffee?,Dos maletas grandes y uno pequeño.,VERB PRON VERB DET NOUN ADP NOUN PUNCT ,MD PRP VB DT NN IN NN . ,NUM NOUN ADJ CCONJ PRON ADJ PUNCT ,CD NNS JJ CC DT JJ . 
771,Can you hear me well?,¿Tendria el gusto de tomar una taza de café?,VERB PRON VERB PRON ADV PUNCT ,MD PRP VB PRP RB . ,PUNCT VERB DET NOUN ADP VERB DET NOUN ADP NOUN PUNCT ,. VBD DT NN IN TO VB DT NN IN NN . 
772,He speaks English very well.,Él habla inglés muy bien.,PRON VERB PROPN ADV ADV PUNCT ,PRP VBZ NNP RB RB . ,PRON VERB NOUN ADV ADV PUNCT ,PRP VBZ NN RB RB . 
773,I feel so sleepy.,Siento tanto sueño.,PRON VERB ADV ADJ PUNCT ,PRP VBP RB JJ . ,VERB DET NOUN PUNCT ,VBP DT NN . 
774,Stay here for a moment.,Permanece aquí por un momento.,VERB ADV ADP DET NOUN PUNCT ,VB RB IN DT NN . ,VERB ADV ADP DET NOUN PUNCT ,VBZ RB IN DT NN . 
775,Let me think for a while.,Déjeme pensar por un instante.,VERB PRON VERB ADP DET NOUN PUNCT ,VB PRP VB IN DT NN . ,VERB VERB ADP DET NOUN PUNCT ,VBP TO VB IN DT NN . 
776,Brush your teeth before sleeping.,Antes de dormir cepíllate los dientes.,VERB DET NOUN ADP VERB PUNCT ,VB PRP$ NNS IN VBG . ,ADV ADP VERB NOUN DET NOUN PUNCT ,RB IN TO VB NN DT NNS . 
777,Hold my hand.,Sostenga de mi mano.,VERB DET NOUN PUNCT ,VB PRP$ NN . ,VERB ADP DET NOUN PUNCT ,VBZ IN PRP$ NN . 
778,I came across it in a magazine.,Lo vi de casualidad en la revista.,PRON VERB ADP PRON ADP DET NOUN PUNCT ,PRP VBD IN PRP IN DT NN . ,PRON VERB ADP NOUN ADP DET NOUN PUNCT ,PRP VBD IN NNP IN DT NN . 
779,I turned the page of the calendar.,Di vuelta la página del calendario.,PRON VERB DET NOUN ADP DET NOUN PUNCT ,PRP VBD DT NN IN DT NN . ,VERB VERB DET NOUN ADP NOUN PUNCT ,VBG VBZ DT NN IN NN . 
780,Don't be angry. It was just for fun.,No se enoje. Era solo una broma.,VERB ADV VERB ADJ PUNCT PRON VERB ADV ADP NOUN PUNCT ,VB RB VB JJ . PRP VBD RB IN NN . ,ADV PRON VERB PUNCT AUX ADV DET NOUN PUNCT ,RB PRP MD VB . VBD RB DT NN . 
781,I prefer red roses to yellow ones.,Prefiero rosas rojas en vez de amarillas.,PRON VERB ADJ NOUN ADP ADJ NOUN PUNCT ,PRP VBP JJ NNS IN JJ NNS . ,VERB NOUN ADJ ADP NOUN ADP NOUN PUNCT ,VBP NNS JJ IN NNP IN NNS . 
782,Have you decided on the time and the place?,¿Has decidido el tiempo y el lugar?,VERB PRON VERB ADP DET NOUN CCONJ DET NOUN PUNCT ,VBP PRP VBN IN DT NN CC DT NN . ,PUNCT AUX VERB DET NOUN CCONJ DET NOUN PUNCT ,. VBP VBN DT NN CC DT NN . 
783,My restaurant uses only fresh ingredients.,Nuestro restaurante utiliza solo ingredientes frescos.,DET NOUN VERB ADJ ADJ NOUN PUNCT ,PRP$ NN VBZ JJ JJ NNS . ,DET NOUN VERB ADV NOUN ADJ PUNCT ,PRP$ NN VBZ RB NNS JJ . 
784,I'm finding this movie extremely boring.,Esta película es realmente aburrida.,PRON VERB VERB DET NOUN ADV ADJ PUNCT ,PRP VBP VBG DT NN RB JJ . ,DET NOUN AUX ADV ADJ PUNCT ,DT NN VBZ RB JJ . 
785,This is so fun!,¡Esto está realmente divertido!,DET VERB ADV ADJ PUNCT ,DT VBZ RB JJ . ,PUNCT PRON AUX ADV ADJ PUNCT ,. DT VBZ RB JJ . 
786,I inherited a huge property from my parents.,Heredé mucha herencia por parte de mis padres.,PRON VERB DET ADJ NOUN ADP DET NOUN PUNCT ,PRP VBD DT JJ NN IN PRP$ NNS . ,VERB DET NOUN ADP NOUN ADP DET NOUN PUNCT ,VBD DT NN IN NNP IN PRP$ NNS . 
787,Do I know you?,¿Me conoce?,VERB PRON VERB PRON PUNCT ,VBP PRP VB PRP . ,PUNCT PRON VERB PUNCT ,. PRP VBZ . 
788,Look at that man over there.,Mire a esa persona.,VERB ADP DET NOUN ADV ADV PUNCT ,VB IN DT NN RB RB . ,VERB ADP DET NOUN PUNCT ,VB IN DT NN . 
789,Look at that. A puppy with an injured leg!,Mira eso. ¡Un perrito se ha lastimado la pata!,VERB ADP DET PUNCT DET NOUN ADP DET VERB NOUN PUNCT ,VB IN DT . DT NN IN DT VBN NN . ,VERB PRON PUNCT PUNCT DET NOUN PRON AUX VERB DET NOUN PUNCT ,VB DT . . DT NN PRP VBZ VBN DT NN . 
790,That place is always crowded with people.,Allí siempre se llena de gente.,DET NOUN VERB ADV VERB ADP NOUN PUNCT ,DT NN VBZ RB VBN IN NNS . ,ADV ADV PRON VERB ADP NOUN PUNCT ,RB RB PRP VBZ IN NN . 
791,There's a gas station over there.,Allí hay una gasolinera. ,ADV VERB DET NOUN NOUN ADV ADV PUNCT ,EX VBZ DT NN NN RB RB . ,ADV AUX DET NOUN PUNCT ,RB VBZ DT NN . 
792,What are you going to do tomorrow evening?,¿Qué va a hacer mañana por la noche?,PRON VERB PRON VERB PART VERB NOUN NOUN PUNCT ,WP VBP PRP VBG TO VB NN NN . ,PUNCT PRON AUX ADP VERB ADV ADP DET NOUN PUNCT ,. WP VBZ IN TO VB RB IN DT NN . 
793,Put it down in that corner over there.,"Póngalo allí, en la esquina.",VERB PRON PART ADP DET NOUN ADV ADV PUNCT ,VB PRP RP IN DT NN RB RB . ,PROPN ADV PUNCT ADP DET NOUN PUNCT ,"NNP RB , IN DT NN . "
794,"Write down your name here, please.","Escriba su nombre aquí, por favor.",VERB PART DET NOUN ADV PUNCT INTJ PUNCT ,"VB RP PRP$ NN RB , UH . ",VERB DET NOUN ADV PUNCT ADP NOUN PUNCT ,"VBP PRP$ NN RB , IN NNP . "
795,There are few men working at my company.,Hay pocas personas que trabajan en mi compañía.,ADV VERB ADJ NOUN VERB ADP DET NOUN PUNCT ,EX VBP JJ NNS VBG IN PRP$ NN . ,AUX DET NOUN PRON VERB ADP DET NOUN PUNCT ,VBZ DT NNS DT VBP IN PRP$ NN . 
796,The store that was here before is now gone.,El almacén que estaba antes aquí desapereció.,DET NOUN DET VERB ADV ADV VERB ADV VERB PUNCT ,DT NN WDT VBD RB RB VBZ RB VBN . ,DET NOUN PRON AUX ADV ADV VERB PUNCT ,DT NN DT VBD RB RB VBD . 
797,Our university boasts a tradition that goes back 100 years.,Nuestra universidad se enorgullese de sus 100 años de tradición.,DET NOUN VERB DET NOUN DET VERB ADV NUM NOUN PUNCT ,PRP$ NN VBZ DT NN WDT VBZ RB CD NNS . ,DET NOUN PRON VERB ADP PRON NUM NOUN ADP NOUN PUNCT ,PRP$ NN PRP VBD IN PRP$ CD NNS IN NN . 
798,Please tell him Hyean called.,Por favor dígale que  Hyean la ha llamado.,INTJ VERB PRON PROPN VERB PUNCT ,UH VB PRP NNP VBN . ,ADP NOUN VERB SCONJ SPACE PROPN PRON AUX VERB PUNCT ,IN NNP VBZ IN _SP NNP PRP VBZ VBN . 
799,He seemed to be a completely different person.,Él parecía ser una persona totalmente diferente.,PRON VERB PART VERB DET ADV ADJ NOUN PUNCT ,PRP VBD TO VB DT RB JJ NN . ,PRON AUX AUX DET NOUN ADV ADJ PUNCT ,PRP VBD TO VB DT NN RB JJ . 
800,Call 911!,¡Llamá al 911!,VERB NUM PUNCT ,VB CD . ,PUNCT ADV ADP NUM PUNCT ,. RB IN CD . 
801,Can I have your phone number?,¿Me enseñas tu número de teléfono?,VERB PRON VERB DET NOUN NOUN PUNCT ,MD PRP VB PRP$ NN NN . ,PUNCT PRON NOUN DET NOUN ADP NOUN PUNCT ,. PRP NNS PRP$ NN IN NN . 
802,"When she was young, she was really beautiful.","Cuando ella era joven, era realmente hermosa.",ADV PRON VERB ADJ PUNCT PRON VERB ADV ADJ PUNCT ,"WRB PRP VBD JJ , PRP VBD RB JJ . ",SCONJ PRON AUX NOUN PUNCT AUX ADV ADJ PUNCT ,"IN PRP VBD NN , VBD RB JJ . "
803,I got five points taken off for being late.,Me bajaron 5 puntos por haber llegado tarde.,PRON VERB NUM NOUN VERB PART ADP VERB ADJ PUNCT ,PRP VBD CD NNS VBN RP IN VBG JJ . ,PRON VERB NUM NOUN ADP AUX VERB ADV PUNCT ,PRP VBD CD NNS IN TO VB VBN RB . 
804,Lunch is on me.,El almuerzo lo pago yo.,NOUN VERB ADP PRON PUNCT ,NN VBZ IN PRP . ,DET NOUN PRON ADJ PRON PUNCT ,DT NN PRP JJ PRP . 
805,We have an hour-long lunch break.,La hora del almuerzo es durante una hora.,PRON VERB DET NOUN PUNCT ADJ NOUN NOUN PUNCT ,PRP VBP DT NN HYPH JJ NN NN . ,DET NOUN ADP NOUN AUX ADP DET NOUN PUNCT ,DT NN IN NN VBZ IN DT NN . 
806,"More and more, young people nowadays go abroad to study.","Cada vez más, la gente joven va al extranjero por sus estudios.",ADJ CCONJ ADJ PUNCT ADJ NOUN ADV VERB ADV PART VERB PUNCT ,"JJR CC JJR , JJ NNS RB VBP RB TO VB . ",DET NOUN ADV PUNCT DET NOUN ADJ VERB ADP NOUN ADP DET NOUN PUNCT ,"DT NN RB , DT NN JJ VBZ IN NN IN PRP$ NNS . "
807,Can you pick up the noodles using your chopsticks?,¿Puedes tomar los tallarines usando los palillos?,VERB PRON VERB PART DET NOUN VERB DET NOUN PUNCT ,MD PRP VB RP DT NNS VBG PRP$ NNS . ,PUNCT AUX VERB DET NOUN VERB DET NOUN PUNCT ,. VBP TO VB DT NNS VBG DT NNS . 
808,It'll take about two minutes.,Tomará cerca de dos minutos.,PRON AUX VERB ADV NUM NOUN PUNCT ,PRP MD VB RB CD NNS . ,VERB ADV ADP NUM NOUN PUNCT ,MD VB RB IN CD NNS . 
809,Is there a bus stop near here?,¿Hay una parada de autobús cerca de aquí?,VERB ADV DET NOUN NOUN ADV ADV PUNCT ,VBZ EX DT NN NN RB RB . ,PUNCT AUX DET NOUN ADP NOUN ADV ADP ADV PUNCT ,. VBZ DT NN IN NN RB IN RB . 
810,I'm really tired now.,Ahora estoy realmente cansado.,PRON VERB ADV ADJ ADV PUNCT ,PRP VBP RB JJ RB . ,ADV AUX ADV ADJ PUNCT ,RB VBP RB JJ . 
811,A sound mind in a sound body,Una mente sana en un cuerpo sano.,DET ADJ NOUN ADP DET ADJ NOUN ,DT JJ NN IN DT JJ NN ,DET NOUN ADJ ADP DET NOUN ADJ PUNCT ,DT NN JJ IN DT NN JJ . 
812,You set the time for us.,Usted decide el horario.,PRON VERB DET NOUN ADP PRON PUNCT ,PRP VBP DT NN IN PRP . ,PRON VERB DET NOUN PUNCT ,PRP VBZ DT NN . 
813,What time is the exact departure time?,¿A qué hora parte exactamente?,DET NOUN VERB DET ADJ NOUN NOUN PUNCT ,WDT NN VBZ DT JJ NN NN . ,PUNCT ADP DET NOUN NOUN ADV PUNCT ,. IN WDT NN NN RB . 
814,Let's get it right this time.,Esta vez hagámoslo bien.,VERB PRON VERB PRON ADJ DET NOUN PUNCT ,VB PRP VB PRP JJ DT NN . ,DET NOUN AUX ADV PUNCT ,DT NN VBP RB . 
815,I like Beethoven the best.,A mi Beethoven es el que más me gusta.,PRON VERB PROPN DET ADJ PUNCT ,PRP VBP NNP DT JJS . ,ADP DET PROPN AUX DET PRON ADV PRON VERB PUNCT ,IN PRP$ NNP VBZ DT DT RB PRP VBZ . 
816,"Just a little more, please.","Deme un poco más, por favor.",ADV DET ADV ADJ PUNCT INTJ PUNCT ,"RB DT RB JJR , UH . ",PROPN DET ADV ADV PUNCT ADP NOUN PUNCT ,"NNP DT RB RB , IN NNP . "
817,The police are investigating the incident.,La policía está investigando el incidente.,DET NOUN VERB VERB DET NOUN PUNCT ,DT NNS VBP VBG DT NN . ,DET NOUN AUX VERB DET NOUN PUNCT ,DT NN VBZ VBG DT NN . 
818,Be careful not to catch a cold.,Tenga cuidado con el resfrío.,VERB ADJ ADV PART VERB DET NOUN PUNCT ,VB JJ RB TO VB DT NN . ,VERB NOUN ADP DET NOUN PUNCT ,VBZ NN IN DT NN . 
819,"Yes, it's a quiet room with a fine view of the ocean.",Es un cuarto silencioso con vista al mar.,INTJ PUNCT PRON VERB DET ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN PUNCT ,"UH , PRP VBZ DT JJ NN IN DT JJ NN IN DT NN . ",AUX DET NOUN ADJ ADP NOUN ADP NOUN PUNCT ,VBZ DT NN JJ IN NN IN NN . 
820,What do you plan to do after you graduate from university?,¿Qué vas a  hacer después de graduarte de la universidad?,PRON VERB PRON VERB PART VERB ADP PRON VERB ADP NOUN PUNCT ,WP VBP PRP VB TO VB IN PRP VBP IN NN . ,PUNCT PRON VERB ADP SPACE VERB ADV ADP NOUN ADP DET NOUN PUNCT ,. WP VBP IN _SP TO VB RB IN NN IN DT NN . 
821,"Bring some wine, please.","Traiga un poco de vino, por favor.",VERB DET NOUN PUNCT INTJ PUNCT ,"VB DT NN , UH . ",VERB DET PRON ADP NOUN PUNCT ADP NOUN PUNCT ,"VBZ DT DT IN NN , IN NNP . "
822,We have freedom of religion.,Tenemos libertad de religión.,PRON VERB NOUN ADP NOUN PUNCT ,PRP VBP NN IN NN . ,VERB NOUN ADP NOUN PUNCT ,VBP NN IN NN . 
823,There are so many kinds of food that I can't decide what to eat first.,Hay tantas clases de comidas que no puedo decidir cuál comer primero.,ADV VERB ADV ADJ NOUN ADP NOUN DET PRON AUX ADV VERB PRON PART VERB ADV PUNCT ,EX VBP RB JJ NNS IN NN WDT PRP MD RB VB WP TO VB RB . ,AUX DET NOUN ADP NOUN PRON ADV AUX VERB PRON VERB ADV PUNCT ,VBZ DT NNS IN NNS DT RB VBP TO VB WP TO VB RB . 
824,Fold the paper in half.,Doble el papel por la mitad.,VERB DET NOUN ADP NOUN PUNCT ,VB DT NN IN NN . ,ADJ DET NOUN ADP DET NOUN PUNCT ,JJ DT NN IN DT NN . 
825,"I hope the weather is nice tomorrow, too. ",Espero que mañana el tiempo sea agradable también.,PRON VERB DET NOUN VERB ADJ NOUN PUNCT ADV PUNCT ,"PRP VBP DT NN VBZ JJ NN , RB . ",VERB SCONJ ADV DET NOUN AUX ADJ ADV PUNCT ,VBP IN RB DT NN VBZ JJ RB . 
826,Do you like comic books?,¿Te gustan los libros cómicos?,VERB PRON ADP ADJ NOUN PUNCT ,VBP PRP IN JJ NNS . ,PUNCT PRON VERB DET NOUN ADJ PUNCT ,. PRP VBP DT NNS JJ . 
827,Sorry I'm late.,"Perdón, he llegado tarde.",INTJ PRON VERB ADJ PUNCT ,UH PRP VBP JJ . ,NOUN PUNCT AUX VERB ADV PUNCT ,"NN , VBP VBN RB . "
828,I gave her a watch for her birthday.,Le di a Hian un reloj para su cumpleaños.,PRON VERB PRON DET NOUN ADP DET NOUN PUNCT ,PRP VBD PRP DT NN IN PRP$ NN . ,PRON VERB ADP PROPN DET NOUN ADP DET NOUN PUNCT ,PRP VBD IN NNP DT NN IN PRP$ NN . 
829,Do you know what pandas mostly eat?,¿Sabes qué comen generalmente los pandas?,VERB PRON VERB PRON NOUN ADV VERB PUNCT ,VBP PRP VB WP NNS RB VBP . ,PUNCT VERB PRON VERB ADV DET NOUN PUNCT ,. VBP WP VBP RB DT NNS . 
830,Are you free this weekend?,¿Tienes tiempo este fin de semana?,VERB PRON ADJ DET NOUN PUNCT ,VBP PRP JJ DT NN . ,PUNCT VERB NOUN DET NOUN ADP NOUN PUNCT ,. VBP NN DT NN IN NN . 
831,I'll give you my e-mail address.,Le daré mi dirección de E-mail.,PRON AUX VERB PRON DET NOUN NOUN NOUN NOUN PUNCT ,PRP MD VB PRP PRP$ NN NN NN NN . ,PRON VERB DET NOUN ADP CCONJ PUNCT NOUN PUNCT ,PRP MD VB PRP$ NN IN CC SYM NNP . 
832,"Sorry, we have no orange juice today.","Discúlpeme, pero hoy no tenemos jugo de naranja.",INTJ PUNCT PRON VERB DET ADJ NOUN NOUN PUNCT ,"UH , PRP VBP DT JJ NN NN . ",VERB PUNCT CCONJ ADV ADV VERB NOUN ADP NOUN PUNCT ,"VBZ , CC RB RB VBP NN IN NN . "
833,You shouldn't run around the pool like that.,"Ten cuidado, no debes correr al rededor de la piscina.",PRON AUX ADV VERB ADP DET NOUN ADP DET PUNCT ,PRP MD RB VB IN DT NN IN DT . ,PROPN ADJ PUNCT ADV AUX VERB ADP NOUN ADP DET NOUN PUNCT ,"NNP JJ , RB VBP TO VB IN NN IN DT NN . "
834,Are you the owner of this car?,¿Es el dueño de este coche?,VERB PRON DET NOUN ADP DET NOUN PUNCT ,VBP PRP DT NN IN DT NN . ,PUNCT AUX DET NOUN ADP DET NOUN PUNCT ,. VBZ DT NN IN DT NN . 
835,How about going on to the next topic?,¿Qué le parece pasar al siguiente tema?,ADV ADP VERB PART ADP DET ADJ NOUN PUNCT ,WRB IN VBG RP IN DT JJ NN . ,PUNCT PRON PRON AUX VERB ADP ADJ NOUN PUNCT ,. WP PRP VBZ TO VB IN JJ NN . 
836,Keep smoking and you'll probably die young.,Si sigues fumando te puedes morir joven.,VERB NOUN CCONJ PRON AUX ADV VERB ADJ PUNCT ,VB NN CC PRP MD RB VB JJ . ,SCONJ NOUN VERB PRON AUX VERB ADJ PUNCT ,IN NN VBG PRP VBP TO VB JJ . 
837,"In Korea, red means death.","En Corea, el rojo significa muerte.",ADP PROPN PUNCT ADJ VERB NOUN PUNCT ,"IN NNP , JJ VBZ NN . ",ADP PROPN PUNCT DET NOUN VERB NOUN PUNCT ,"IN NNP , DT NN VBZ NN . "
838,Is there anything special that I should prepare?,¿Hay algo en especial para que yo prepare?,VERB ADV NOUN ADJ ADP PRON VERB VERB PUNCT ,VBZ EX NN JJ IN PRP MD VB . ,PUNCT AUX PRON ADP ADJ ADP SCONJ PRON VERB PUNCT ,. VBZ NN IN JJ IN IN PRP VBZ . 
839,"First of all, it is important to reduce your stress.","Primero de todo, es importante reducir la tensión.",ADV ADP DET PUNCT PRON VERB ADJ PART VERB DET NOUN PUNCT ,"RB IN DT , PRP VBZ JJ TO VB PRP$ NN . ",ADJ ADP PRON PUNCT AUX ADJ VERB DET NOUN PUNCT ,"JJ IN DT , VBZ JJ TO VB DT NN . "
840,Don't chat during class.,No charlar durante clase.,VERB ADV VERB ADP NOUN PUNCT ,VB RB VB IN NN . ,ADV VERB ADP NOUN PUNCT ,RB TO VB IN NN . 
841,Things in China are so cheap.,Las cosas en China son tan baratas.,NOUN ADP PROPN VERB ADV ADJ PUNCT ,NNS IN NNP VBP RB JJ . ,DET NOUN ADP PROPN AUX ADV ADJ PUNCT ,DT NNS IN NNP VBP RB JJ . 
842,A lot of people are studying Chinese in Korea these days.,Actualmente hay muchas personas están estudiando el leguaje chino en Corea.,DET NOUN ADP NOUN VERB VERB PROPN ADP PROPN DET NOUN PUNCT ,DT NN IN NNS VBP VBG NNP IN NNP DT NNS . ,ADV AUX DET NOUN AUX VERB DET NOUN ADJ ADP PROPN PUNCT ,RB VBZ DT NNS VBP VBG DT NN JJ IN NNP . 
843,My house is located in the center of Seoul.,Mi casa está situada en el centro de Seul.,DET NOUN VERB VERB ADP DET NOUN ADP PROPN PUNCT ,PRP$ NN VBZ VBN IN DT NN IN NNP . ,DET NOUN AUX ADJ ADP DET NOUN ADP PROPN PUNCT ,PRP$ NN VBZ JJ IN DT NN IN NNP . 
844,Is Dokdo an important island?,¿Es Dokdo una isla importante?,VERB PROPN DET ADJ NOUN PUNCT ,VBZ NNP DT JJ NN . ,PUNCT AUX PROPN DET NOUN ADJ PUNCT ,. VBZ NNP DT NN JJ . 
845,My mom teaches art at a junior high school.,Mi mamá es profesora de arte en el colegio secundario.,DET NOUN VERB NOUN ADP DET ADJ ADJ NOUN PUNCT ,PRP$ NN VBZ NN IN DT JJ JJ NN . ,DET NOUN AUX NOUN ADP NOUN ADP DET NOUN ADJ PUNCT ,PRP$ NN VBZ NN IN NN IN DT NN JJ . 
846,Do many junior high school students smoke?,¿Muchos estudiantes secundarios fuman?,VERB ADJ ADJ ADJ NOUN NOUN VERB PUNCT ,VBP JJ JJ JJ NN NNS VBP . ,PUNCT DET NOUN ADJ VERB PUNCT ,. DT NNS JJ VBP . 
847,Children's day is one of the happiest times in a year for children.,El Día de los Niños es uno de los días más felices del año para los niños.,NOUN PART NOUN VERB NUM ADP DET ADJ NOUN ADP DET NOUN ADP NOUN PUNCT ,NNS POS NN VBZ CD IN DT JJS NNS IN DT NN IN NNS . ,DET PROPN ADP DET PROPN AUX PRON ADP DET NOUN ADV ADJ ADP NOUN ADP DET NOUN PUNCT ,DT NNP IN DT NNP VBZ DT IN DT NNS RB JJ IN NN IN DT NNS . 
848,What kind of food do you enjoy?,¿Qué clase de alimentos disfruta comer?,DET NOUN ADP NOUN VERB PRON VERB PUNCT ,WDT NN IN NN VBP PRP VB . ,PUNCT DET NOUN ADP NOUN VERB VERB PUNCT ,. WDT NN IN NNS VBZ TO VB . 
849,Do you carry your money in a wallet?,¿Lleva dinero en su billetera?,VERB PRON VERB DET NOUN ADP DET NOUN PUNCT ,VBP PRP VB PRP$ NN IN DT NN . ,PUNCT VERB NOUN ADP DET NOUN PUNCT ,. VBZ NN IN PRP$ NN . 
850,Where are you now?,¿Dónde estás ahora?,ADV VERB PRON ADV PUNCT ,WRB VBP PRP RB . ,PUNCT PRON VERB ADV PUNCT ,. WDT VBP RB . 
851,Does this bus pass by the Plaza Hotel?,¿Este autobús pasa por el Hotel Plaza?,VERB DET NOUN VERB ADP DET PROPN PROPN PUNCT ,VBZ DT NN VB IN DT NNP NNP . ,PUNCT DET NOUN VERB ADP DET PROPN PROPN PUNCT ,. DT NN VBZ IN DT NNP NNP . 
852,All will be forgotten as time goes by.,Si el tiempo pasa todo será olvidado.,DET VERB VERB VERB ADP NOUN VERB ADV PUNCT ,DT MD VB VBN IN NN VBZ RB . ,SCONJ DET NOUN VERB PRON AUX VERB PUNCT ,IN DT NN VBZ DT MD VB VBN . 
853,Your pranks have gone too far.,Sus bromas han ido demasiado lejos.,DET NOUN VERB VERB ADV ADV PUNCT ,PRP$ NNS VBP VBN RB RB . ,DET NOUN AUX VERB ADV ADV PUNCT ,PRP$ NNS VBP VBN RB RB . 
854,This song was released last month.,Esta canción salió el mes pasado.,DET NOUN VERB VERB ADJ NOUN PUNCT ,DT NN VBD VBN JJ NN . ,DET NOUN VERB DET NOUN ADJ PUNCT ,DT NN VBD DT NNP JJ . 
855,Didn't we talk just last week?,¿No hablamos la semana pasada?,VERB ADV PRON VERB ADV ADJ NOUN PUNCT ,VBD RB PRP VB RB JJ NN . ,PUNCT ADV VERB DET NOUN ADJ PUNCT ,. RB VBP DT NN JJ . 
856,The company went bankrupt last year.,La compañía fracasó el año pasado.,DET NOUN VERB ADJ ADJ NOUN PUNCT ,DT NN VBD JJ JJ NN . ,DET NOUN VERB DET NOUN ADJ PUNCT ,DT NN VBD DT NNP JJ . 
857,How did you spend your vacation?,¿Cómo pasastes tus vacaciones?,ADV VERB PRON VERB DET NOUN PUNCT ,WRB VBD PRP VB PRP$ NN . ,PUNCT PRON NOUN DET NOUN PUNCT ,. WDT NNS DT NNS . 
858,I'll show you on the map.,Le enseñaré viendo el mapa.,PRON AUX VERB PRON ADP DET NOUN PUNCT ,PRP MD VB PRP IN DT NN . ,PRON VERB VERB DET NOUN PUNCT ,PRP MD VB VBG DT NN . 
859,Clear everything off your desk except for your pencils and erasers.,Despejar todo del escritorio a excepción del lápiz y el borrador.,ADJ NOUN ADP DET NOUN ADP ADP DET NOUN CCONJ NOUN PUNCT ,JJ NN IN PRP$ NN IN IN PRP$ NNS CC NNS . ,VERB PRON ADP NOUN ADP NOUN ADP NOUN CCONJ DET NOUN PUNCT ,TO VB DT IN NN IN NNP IN NN CC DT NN . 
