,Unnamed: 0,error_type,Negative transfer?,Likely reason for mistake,correct_sentence,correct_trigram_ud,incorrect_sentence,incorrect_trigram_ud,incorrect_error_index,type_and_trigram_ud,ud_quadgram,penn_quadgram,nlt,result
728,2,AGA,False,Number error,"You mentioned the rules at home and at school in the letter. This reminds me of what I experienced during my teenage years. In my country the children go to secondary school when they are in the first year of being a teenager. You know, this age is the troublesome age, boys have too much energy and girls want to fall in love with someone. They always annoy the schoolteacher and their parents. As a result of | this, the teachers make very strict rules at school, such as students aren't allowed to speak to each other in class. They have to finish homework within a limited time. They cannot oppose the teacher, girls are not allowed to wear make-up or wear any jewellery. At home, in my experience, my parents didn't allow me to go out in the evening and gave me a lot of homework to do, even in the holiday. They also forbade me to have a boyfriend. I think it is not just what happened in my home, many of my friends had the same experience. ",DET PUNCT DET,"You mentioned the rules at home and at school in the letter. This reminds me of what I experienced during my teenage years. In my country the children go to secondary school when they are in the first year of being a teenager. You know, this age is the troublesome age, boys have too much energy and girls want to fall in love with someone. They always annoy the schoolteacher and their parents. As a result of | these, the teachers make very strict rules at school, such as students aren't allowed to speak to each other in class. They have to finish homework within a limited time. They cannot oppose the teacher, girls are not allowed to wear make-up or wear any jewellery. At home, in my experience, my parents didn't allow me to go out in the evening and gave me a lot of homework to do, even in the holiday. They also forbade me to have a boyfriend. I think it is not just what happened in my home, many of my friends had the same experience. ",DET PUNCT DET,84,AGA DET PUNCT DET,ADP DET PUNCT DET,"AGA IN DT , DT",True,False
1634,97,MP,True,Chinese uses commas to mark the end of a complete thought,"Furthermore | , I would like to ask you which kind of clothes I need to take and how much money I'll spend. ",PUNCT PRON VERB,Furthermore | I would like to ask you which kind of clothes I need to take and how much money I'll spend.,PRON VERB VERB,1,MP PRON VERB VERB,ADV PRON VERB VERB,MP RB PRP MD VB,True,True
2056,100,RV,True,,"According to a survey which has been conducted by other students . Every , every student in our school has one maths class every day. So, maths lessons | should be filmed. ",VERB VERB VERB,"According to a survey which has been conducted by other students . Every , every student in our school has one maths class every day. So, maths lessons | would be filmed. ",VERB VERB VERB,30,RV VERB VERB VERB,NOUN VERB AUX VERB,RV NNS MD VB VBN,True,True
1449,181,TV,True,Will and would map to the same word in Chinese,"Additionally, men never like shopping , while . While their wives are doing the shopping they sit in the car or read a newspaper. They would be happy if there were sports and leisure facilities in the supermarket. | Then they'd change their mind. Instead of hating shopping they would enjoy shopping. ",ADV PRON AUX,"Additionally, men never like shopping , while . While their wives are doing the shopping they sit in the car or read a newspaper. They would be happy if there were sports and leisure facilities in the supermarket. | Then they'll change their mind. Instead of hating shopping they would enjoy shopping. ",ADV PRON AUX,41,TV ADV PRON AUX,PUNCT ADV PRON VERB,TV . RB PRP MD,True,True
1718,30,MD,True,Chinese has no articles and doesn't use classifiers in this situation,"Actually, we were quite good friends before this event happened. Pat has been studying in the same class with me this year. She sat next to me , we . We started to chat more and more , then . Then we became good friends. One day, we were sitting in the dinning-hall as usual. Suddenly my heart was thumping so quickly because I saw him ? - a boy who was a new student. I know this is one right love , . I'm absolutely besotted with him. Then I told this to Pat and told her to keep it secret: I didn't want people gossiping about me then everyone would know I fancied him. But the thing which I'd never expected happened, which is that Pat betrayed me. She told everyone that I fancy him and everybody always makes | a joke of it , that . That makes me feel so embarrassed: I was very angry at that time! ",DET NOUN ADP,"Actually, we were quite good friends before this event happened. Pat has been studying in the same class with me this year. She sat next to me , we . We started to chat more and more , then . Then we became good friends. One day, we were sitting in the dinning-hall as usual. Suddenly my heart was thumping so quickly because I saw him ? - a boy who was a new student. I know this is one right love , . I'm absolutely besotted with him. Then I told this to Pat and told her to keep it secret: I didn't want people gossiping about me then everyone would know I fancied him. But the thing which I'd never expected happened, which is that Pat betrayed me. She told everyone that I fancy him and everybody always makes | joke of it , that . That makes me feel so embarrassed: I was very angry at that time! ",NOUN ADP PRON,158,MD NOUN ADP PRON,VERB NOUN ADP PRON,MD VBZ NN IN PRP,True,True
1297,24,TV,False,Extra unecessary auxiliary added,"I went to the theatre to buy the ticket and expected to get a discount as I was a student. However, the salesman in the box office told me the discount tickets had | sold out. I could not understand why but I still bought the ticket because I was crazy about Danny Brook. Then, I went into the theatre on time but became a little bit angry after waiting until 20:15, forty-five minutes after the expected starting time. Furthermore, I was so disappointed to find out that Danny Brook was not on the stage and the leading actor sang so badly that I left the theatre before it finished. Last, I went to the theatre restaurant but it was closed because it needed cleaning. ",VERB PART PUNCT,"I went to the theatre to buy the ticket and expected to get a discount as I was a student. However, the salesman in the box office told me the discount tickets had | been sold out. I could not understand why but I still bought the ticket because I was crazy about Danny Brook. Then, I went into the theatre on time but became a little bit angry after waiting until 20:15, forty-five minutes after the expected starting time. Furthermore, I was so disappointed to find out that Danny Brook was not on the stage and the leading actor sang so badly that I left the theatre before it finished. Last, I went to the theatre restaurant but it was closed because it needed cleaning. ",VERB VERB PART,35,TV VERB VERB PART,AUX AUX VERB ADP,TV VBD VBN VBN RP,True,False
1281,8,TV,True,Missing auxiliary; Chinese generally expresses actions in present tense,"Therefore, she came to the river every day and talked about everything with the golden fish. They were very close friends. After half a year, the golden fish suddenly disappeared. Sara was very sad. She sat and cried by the river. Then somebody called her name: ""Sara... Sara... look at me... I'm standing on your left-hand side."" Sara remembered the golden fish. It | had suddenly become human, a little boy. After a few days they got married. They had a wonderful life together. ",VERB ADV VERB,"Therefore, she came to the river every day and talked about everything with the golden fish. They were very close friends. After half a year, the golden fish suddenly disappeared. Sara was very sad. She sat and cried by the river. Then somebody called her name: ""Sara... Sara... look at me... I'm standing on your left-hand side."" Sara remembered the golden fish. It | suddenly becomes human, a little boy. After a few days they got married. They had a wonderful life together. ",ADV VERB ADJ,81,TV ADV VERB ADJ,PRON ADV VERB ADJ,TV PRP RB VBZ JJ,True,True
305,68,RN,False,Spelling error,This will be a great opportunity for us because we will be able to find out more about the people of London and their fashions and style. We might also get a | chance to meet new people and interact with them. The whole class is also very excited about this fashion show and would really appreciate your giving them a | chance to go.,NOUN PART VERB,This will be a great opportunity for us because we will be able to find out more about the people of London and their fashions and style. We might also get a | change to meet new people and interact with them. The whole class is also very excited about this fashion show and would really appreciate your giving them a | change to go.,NOUN PART VERB,33,RN NOUN PART VERB,DET NOUN PART VERB,RN DT NN TO VB,True,False
916,33,W,False,Order is incorrect in Chinese and English,"Shopping is enjoyable, if you are lucky. Even though I think | most of the time it is very interesting, sometimes it gets people upset. ",ADJ ADP DET,"Shopping is enjoyable, if you are lucky. Even though I think | it most of time is very interesting, sometimes it gets people upset. ",PRON ADJ ADP,13,W PRON ADJ ADP,VERB PRON ADJ ADP,W VBP PRP JJS IN,True,False
2600,7,UV,True,Chinese conventions conflict with English,"After that event | , Pat was Jon and Tim's enemy. They both got into trouble because of him. They hate him so much. ",PUNCT PROPN VERB,"After that event | happened, Pat was Jon and Tim's enemy. They both got into trouble because of him. They hate him so much. ",VERB PUNCT PROPN,3,UV VERB PUNCT PROPN,NOUN VERB PUNCT PROPN,"UV NN VBD , NNP",True,True
2474,13,M,False,Word omitted even though in the Chinese translation it would be there,"Firstly, there was a different actor instead of the famous actor , Danny Brook. That left me so disappointed. Secondly, I thought the show would start at 19:30, but it started at 20:15. It caused me to miss the train and I went back to the hotel | when it was nearly mid-night midnight . Another problem is , I thought that discounts were available. However, there wasn't any discount. Additionally, the advertisement said I could visit the theatre restaurant after the show. When I arrived, it was closed. It is so annoying that everything was changed without any notice. ",ADV PRON VERB,"Firstly, there was a different actor instead of the famous actor , Danny Brook. That left me so disappointed. Secondly, I thought the show would start at 19:30, but it started at 20:15. It caused me to miss the train and I went back to the hotel | nearly mid-night midnight . Another problem is , I thought that discounts were available. However, there wasn't any discount. Additionally, the advertisement said I could visit the theatre restaurant after the show. When I arrived, it was closed. It is so annoying that everything was changed without any notice. ",ADV ADJ NOUN,53,M ADV ADJ NOUN,NOUN ADV ADJ ADJ,M NN RB JJ JJ,True,False
1476,211,TV,False,Using modals to show continuation of an event,"However, journalists should not only think about commercial value , because morality and principles | are also concerned. Of course, if everyone paid less attention or interest , the situation would be better. I remember in August 1997 Princess Diana dying in the car crash was one of the most disastrous examples. ",VERB ADV ADJ,"However, journalists should not only think about commercial value , because morality and principles | are also being concerned. Of course, if everyone paid less attention or interest , the situation would be better. I remember in August 1997 Princess Diana dying in the car crash was one of the most disastrous examples. ",VERB ADV VERB,15,TV VERB ADV VERB,NOUN AUX ADV AUX,TV NNS VBP RB VBG,True,False
319,82,RN,False,Misunderstanding of word usage/meaning,"On the other hand, there're some | things that remain the same. The toilet should remain the same as people need to use it daily and nothing can replace it. Second, there should be friends and family members in the home to provide joy and fun. Since friends and family members won't change or be replaced , by anything. ",NOUN DET VERB,"On the other hand, there're some | ways that remain the same. The toilet should remain the same as people need to use it daily and nothing can replace it. Second, there should be friends and family members in the home to provide joy and fun. Since friends and family members won't change or be replaced , by anything. ",NOUN DET VERB,8,RN NOUN DET VERB,DET NOUN DET VERB,RN DT NNS WDT VBP,True,False
452,10,RP,False,Inappropriate capitalization in the middle of sentence,"According to the advert, it says clearly The advert clearly says that discounts are available, but when I was buying the tickets, I did not have this offer . As a result, I had to pay the full price of £15. The second point is that the show had a delay of about 30 minutes. Although I believe there must have been problems, I expect your company managed to sort it out in the quickest way. Apart from that, the most disappointing fact is that there were different actors instead of Danny brook and Tina Truelove, because of whom I was coming . After the show we went to the | theatre restaurant, but it was closed for refurbishment. ",NOUN NOUN PUNCT,"According to the advert, it says clearly The advert clearly says that discounts are available, but when I was buying the tickets, I did not have this offer . As a result, I had to pay the full price of £15. The second point is that the show had a delay of about 30 minutes. Although I believe there must have been problems, I expect your company managed to sort it out in the quickest way. Apart from that, the most disappointing fact is that there were different actors instead of Danny brook and Tina Truelove, because of whom I was coming . After the show we went to the | Theatre restaurant, but it was closed for refurbishment. ",PROPN NOUN PUNCT,121,RP PROPN NOUN PUNCT,DET PROPN NOUN PUNCT,"RP DT NNP NN ,",True,False
1326,54,TV,True,Context carries tense rather than verb; Missing auxiliary,"In my opinion, I think In my opinion, clothes will be a lot different in 100 years' time. New materials | will be invented and new styles | will be created either by designers or people themselves, which will lead to changes in fashion, but in addition materials will probably still be used such as denim, which was invented ages ago in America. And people nowadays still use denim as a common material . If you walk out on to the street now, you will probably see more than half the people wearing clothes that are made of denim, which is incredibly surprising! ",VERB VERB VERB,"In my opinion, I think In my opinion, clothes will be a lot different in 100 years' time. New materials | are invented and new styles | are created either by designers or people themselves, which will lead to changes in fashion, but in addition materials will probably still be used such as denim, which was invented ages ago in America. And people nowadays still use denim as a common material . If you walk out on to the street now, you will probably see more than half the people wearing clothes that are made of denim, which is incredibly surprising! ",VERB VERB CCONJ,24,TV VERB VERB CCONJ,NOUN AUX VERB CCONJ,TV NNS VBP VBN CC,True,True
1916,20,UT,False,Overgeneralization of word pairs,"I am a student at Portsmouth College and the end of this term is 23 June, so I can only travel in July. I wonder if it is all right to come at that time. And concerning my accommodation . , I would prefer to stay in a log cabin, because it is more comfortable. I would like to relax there and enjoy the atmosphere in which I will be living | . ",PUNCT _ _,"I am a student at Portsmouth College and the end of this term is 23 June, so I can only travel in July. I wonder if it is all right to come at that time. And concerning my accommodation . , I would prefer to stay in a log cabin, because it is more comfortable. I would like to relax there and enjoy the atmosphere in which I will be living | in. ",ADP PUNCT _,76,UT ADP PUNCT _,VERB ADP PUNCT,UT VBG IN .,True,False
2470,8,M,True,Chinese conventions conflict with English,"What will clothes be like 100 years from now? What do you think models will wear on the catwalks? Will they wear anything? Who knows? Nowadays, people look at fashion magazines or get opinions from their friends | to help them to decide what to wear on different occasions. ",PART VERB PRON,"What will clothes be like 100 years from now? What do you think models will wear on the catwalks? Will they wear anything? Who knows? Nowadays, people look at fashion magazines or get opinions from their friends | to decide what to wear on different occasions. ",PART VERB PRON,42,M PART VERB PRON,NOUN PART VERB PRON,M NNS TO VB WP,True,True
979,5,MA,False,Chinese expresses this in a different order/structure,"When I found the advertisement for the International Arts Festival, I was very excited. It is great to hold an annual international arts festival in this place. Then I spent two days at the festival. I enjoyed it very much. There were so many exciting things I saw, such as stars and artists from around the world . Jazz , jazz , rock and classical concerts, plays and dance shows etc. The specified thing | that is worth remembering here is the reasonably-priced ticket for all events, it is excellent because most tourists could offer what they liked. ",DET VERB ADJ,"When I found the advertisement for the International Arts Festival, I was very excited. It is great to hold an annual international arts festival in this place. Then I spent two days at the festival. I enjoyed it very much. There were so many exciting things I saw, such as stars and artists from around the world . Jazz , jazz , rock and classical concerts, plays and dance shows etc. The specified thing | is worth remembering here is the reasonably-priced ticket for all events, it is excellent because most tourists could offer what they liked. ",VERB ADJ NOUN,82,MA VERB ADJ NOUN,NOUN AUX ADJ VERB,MA NN VBZ JJ VBG,True,False
13,13,DJ,True,"Chinese verbs, adjectives, and nouns sometimes are the same","Unfortunately, Pat wasn't very good at keeping secrets. He was so kind that he couldn't resist telling Janet that she was going to be killed by Mr Brown. After doing that, Pat left the room. Janet was so nervous that she couldn't stop her heart beating quickly. She went downstairs quietly and closed the door as soon as she went into her room. At that moment a lot of things appeared in her mind, which seemed like they had just happened yesterday. ""Why did Mr Brown want to kill me?"" she said to herself. ""I am just a servant in this castle , . I love him so much and I don't want anything from him although he is the owner of this castle."" It seemed as if a shadow came in through the window and disappeared quickly. Everything in the room was quiet except the sound of the clock, as if everything was going to die. She was so | frightened and sad that she had no energy. She fell onto the floor and wept, while nobody could help her. ",ADJ CCONJ ADJ,"Unfortunately, Pat wasn't very good at keeping secrets. He was so kind that he couldn't resist telling Janet that she was going to be killed by Mr Brown. After doing that, Pat left the room. Janet was so nervous that she couldn't stop her heart beating quickly. She went downstairs quietly and closed the door as soon as she went into her room. At that moment a lot of things appeared in her mind, which seemed like they had just happened yesterday. ""Why did Mr Brown want to kill me?"" she said to herself. ""I am just a servant in this castle , . I love him so much and I don't want anything from him although he is the owner of this castle."" It seemed as if a shadow came in through the window and disappeared quickly. Everything in the room was quiet except the sound of the clock, as if everything was going to die. She was so | frighten and sad that she had no energy. She fell onto the floor and wept, while nobody could help her. ",ADJ CCONJ ADJ,183,DJ ADJ CCONJ ADJ,ADV ADJ CCONJ ADJ,DJ RB JJ CC JJ,True,True
2286,35,RT,True,English words map to the same Chinese word,"Weapons are designed to kill and defend in a fight , in . In the Second World War so many Germans were killed , also . Also many people died | in other regions . , e.g. the English. ",ADP ADJ NOUN,"Weapons are designed to kill and defend in a fight , in . In the Second World War so many Germans were killed , also . Also many people died | from other regions . , e.g. the English. ",ADP ADJ NOUN,30,RT ADP ADJ NOUN,VERB ADP ADJ NOUN,RT VBD IN JJ NNS,True,True
2283,32,RT,True,English words map to the same Chinese word; Chinese doesn't use the word in this context,"Second, modern technology makes communication much easier and more enjoyable. With the spreading use of the Internet, people living in different parts of the world can chat with each other | via the web. And , we can also share important information with other people. The development of information technology has changed the world into ""a global village"". ",ADP DET NOUN,"Second, modern technology makes communication much easier and more enjoyable. With the spreading use of the Internet, people living in different parts of the world can chat with each other | through the web. And , we can also share important information with other people. The development of information technology has changed the world into ""a global village"". ",ADP DET NOUN,33,RT ADP DET NOUN,ADJ ADP DET NOUN,RT JJ IN DT NN,True,True
1039,3,MV,True,Chinese conventions conflict with English	,"Finally, about the three free hours, my personal preference | is to go shopping. Our city has got the biggest shopping centre in South England , there . There are so many shops. It | is worth spending time and money on that. ",VERB PART VERB,"Finally, about the three free hours, my personal preference | to go shopping. Our city has got the biggest shopping centre in South England , there . There are so many shops. It | worth spending time and money on that. ",PART VERB NOUN,11,MV PART VERB NOUN,NOUN PART VERB VERB,MV NN TO VB VBG,True,True
1492,229,TV,True,Chinese generally expresses actions in present tense,"So I must find a way to help my great father. One day, I suddenly had a good idea. 'Why not go to the stock exchange?' I said to myself. Almost every day I went there and researched the exchange decline-line, which | gave me lots of information . Finally, I decided to join in the dangerous game, which meant losing everything or suddenly becoming a millionaire. With luck, I won by chance . ",VERB PRON NOUN,"So I must find a way to help my great father. One day, I suddenly had a good idea. 'Why not go to the stock exchange?' I said to myself. Almost every day I went there and researched the exchange decline-line, which | gives me lots of information . Finally, I decided to join in the dangerous game, which meant losing everything or suddenly becoming a millionaire. With luck, I won by chance . ",VERB PRON NOUN,52,TV VERB PRON NOUN,DET VERB PRON NOUN,TV WDT VBZ PRP NNS,True,True
2750,95,FV,True,Progressive aspect not applied,"Thank goodness, I succeeded , in | saving that struggling child. When I got to the river bank, I saw some red-faced . ",VERB DET VERB,"Thank goodness, I succeeded , in | save that struggling child. When I got to the river bank, I saw some red-faced . ",NOUN DET VERB,7,FV NOUN DET VERB,ADP NOUN DET VERB,FV IN NN DT VBG,True,True
1119,30,AGQ,True,Phrases map to the same Chinese phrase,"You can inform | all the students that they can take some traditional food to the party. After the meal, you can play some games and prepare a prize for the winner. At the end of the conference you can dance and sing together. ",DET DET NOUN,"You can inform | every students that they can take some traditional food to the party. After the meal, you can play some games and prepare a prize for the winner. At the end of the conference you can dance and sing together. ",DET NOUN ADP,3,AGQ DET NOUN ADP,VERB DET NOUN DET,AGQ VB DT NNS WDT,True,True
510,70,RP,True,Punctuation error related to Spelling errors (missing space),"Regarding the accommodation, I would prefer to stay in tents rather than log cabins because I have a lot of experience of putting up my own tents. When I was in | high school I used to be a member of the campfire . ",ADJ NOUN PRON,"Regarding the accommodation, I would prefer to stay in tents rather than log cabins because I have a lot of experience of putting up my own tents. When I was in | highschool I used to be a member of the campfire . ",NOUN PRON VERB,33,RP NOUN PRON VERB,ADP PROPN PRON VERB,RP IN NNP PRP VBD,True,True
145,60,FN,True,Missing plural,"This is what I think should be filmed. If any of you have other | suggestions, we can discuss this again. But I think these five lessons or activities are the most common in our daily life at college. ",NOUN PUNCT PRON,"This is what I think should be filmed. If any of you have other | suggestion, we can discuss this again. But I think these five lessons or activities are the most common in our daily life at college. ",NOUN PUNCT PRON,15,FN NOUN PUNCT PRON,ADJ NOUN PUNCT PRON,"FN JJ NN , PRP",True,True
736,10,AGA,False,Using 'It' incorrectly,"Sometimes, when you shop on the street , you will see a lot of things that you like, and you can't buy | them once , then maybe you will feel very sad. And then, you may save money for the things you like, nothing to do, just for the poor things what you like so funny, isn't it? ",PRON ADV PUNCT,"Sometimes, when you shop on the street , you will see a lot of things that you like, and you can't buy | it once , then maybe you will feel very sad. And then, you may save money for the things you like, nothing to do, just for the poor things what you like so funny, isn't it? ",PRON ADV PUNCT,25,AGA PRON ADV PUNCT,VERB PRON ADV PUNCT,"AGA VB PRP RB ,",True,False
313,76,RN,False,Spelling error,"So I must find a way to help my great father. One day, I suddenly had a good idea. 'Why not go to the | stock exchange?' I said to myself. Almost every day I went there and researched the exchange decline-line, which gave me lots of information . Finally, I decided to join in the dangerous game, which meant losing everything or suddenly becoming a millionaire. With luck, I won by chance . ",NOUN NOUN PUNCT,"So I must find a way to help my great father. One day, I suddenly had a good idea. 'Why not go to the | sock exchange?' I said to myself. Almost every day I went there and researched the exchange decline-line, which gave me lots of information . Finally, I decided to join in the dangerous game, which meant losing everything or suddenly becoming a millionaire. With luck, I won by chance . ",NOUN NOUN PUNCT,28,RN NOUN NOUN PUNCT,DET NOUN NOUN PUNCT,RN DT NN NN .,True,False
1840,152,MD,True,Chinese has no articles and doesn't use classifiers in this situation,"Last night, when I went into my house it was quite silent. I felt there might be something that had gone wrong. I found my parents sitting in an armchair . I could see sadness in my father's eyes. My mother came over to me and said softly, ; "" My dear, your father's company has just gone bankrupt', then she couldn't help crying. When I heard this bad news, I was very depressed because father worked quite hard for his company. My father always remembered his responsibility was to provide | a good salary to his workers to provide his workers with a good salary , which is the aim of his life. ",DET ADJ NOUN,"Last night, when I went into my house it was quite silent. I felt there might be something that had gone wrong. I found my parents sitting in an armchair . I could see sadness in my father's eyes. My mother came over to me and said softly, ; "" My dear, your father's company has just gone bankrupt', then she couldn't help crying. When I heard this bad news, I was very depressed because father worked quite hard for his company. My father always remembered his responsibility was to provide | good salary to his workers to provide his workers with a good salary , which is the aim of his life. ",ADJ NOUN ADP,105,MD ADJ NOUN ADP,VERB ADJ NOUN ADP,MD VB JJ NN IN,True,True
926,43,L,True,Phrases map to the same Chinese phrase,"Taking photographs during the holiday is a very good memory for me, and I can share my adventures with my friends. So while I am at the Camp I want to take | a lot of photographs and climb a mountain. Fresh-air Fresh air , flowers and meeting some interesting people while you are climbing you have . By the way, I wonder if I need a lot of money and what kind of clothes I should bring. Finally, thanks for giving me this opportunity. I look forward to hearing from you. ",DET NOUN ADP,"Taking photographs during the holiday is a very good memory for me, and I can share my adventures with my friends. So while I am at the Camp I want to take | many photographs and climb a mountain. Fresh-air Fresh air , flowers and meeting some interesting people while you are climbing you have . By the way, I wonder if I need a lot of money and what kind of clothes I should bring. Finally, thanks for giving me this opportunity. I look forward to hearing from you. ",ADJ NOUN CCONJ,34,L ADJ NOUN CCONJ,VERB ADJ NOUN CCONJ,L VB JJ NNS CC,True,True
274,37,RN,False,Spelling error,"But in the | breaks and after work, I had a chance to talk with the engineers, and I learnt something about setting up the equipment. ",NOUN CCONJ ADP,"But in the | brakes and after work, I had a chance to talk with the engineers, and I learnt something about setting up the equipment. ",NOUN CCONJ ADP,3,RN NOUN CCONJ ADP,DET NOUN CCONJ ADP,RN DT NNS CC IN,True,False
582,18,AGV,True,Not applying the 3rd person present tense suffix -s,"What will clothes be like 100 years from now? What do you think models will wear on the catwalks? Will they wear anything? Who | knows? Nowadays, people look at fashion magazines or get opinions from their friends to help them to decide what to wear on different occasions. ",VERB PUNCT ADV,"What will clothes be like 100 years from now? What do you think models will wear on the catwalks? Will they wear anything? Who | know? Nowadays, people look at fashion magazines or get opinions from their friends to help them to decide what to wear on different occasions. ",VERB PUNCT ADV,27,AGV VERB PUNCT ADV,PRON VERB PUNCT ADV,AGV WP VBP . RB,True,True
393,23,RD,False,Chinese uses a character that maps a determiner in this case,"If I get two choices, I would like to go swimming and take photographs. Because I grew up in | a town that is a seaside city . , I started training in 1996, and I have never given it up. In particular, it was really good for my health during the growth period . Photography is my hobby . I can remember that I used to take photographs of the exhibitions or during the holidays. It will be nice for my memories when I am older. In addition, it could show people how nice the places I have been are and the views I have got . Therefore, I would like to do those two activities. ",DET NOUN DET,"If I get two choices, I would like to go swimming and take photographs. Because I grew up in | my town that is a seaside city . , I started training in 1996, and I have never given it up. In particular, it was really good for my health during the growth period . Photography is my hobby . I can remember that I used to take photographs of the exhibitions or during the holidays. It will be nice for my memories when I am older. In addition, it could show people how nice the places I have been are and the views I have got . Therefore, I would like to do those two activities. ",DET NOUN DET,21,RD DET NOUN DET,ADP DET NOUN DET,RD IN PRP$ NN WDT,True,False
1380,109,TV,True,Chinese generally expresses actions in present tense,"I | had an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I | had to try another aisle. It was the longest queue , I have ever been in. ",VERB DET ADJ,"I | have an unpleasant experience. It was at lunchtime. Everybody had gone to buy lunch in the supermarket , in . In fact, nobody likes crowds and queues, especially not in the summertime. I was queuing in the middle of row . I chose this aisle because I thought it was quicker than the others. Although there were finished two people, next was me, something was happened . Suddenly the customer thought the receipt was not right , she . She did not buy a lot of things but the shop assistant did not make a mistake , they . They argued about this thing. The shop manager came to solve it. Obviously, I | have to try another aisle. It was the longest queue , I have ever been in. ",VERB DET ADJ,1,TV VERB DET ADJ,PRON AUX DET ADJ,TV PRP VBP DT JJ,True,True
2139,183,RV,False,,"I hope you will | consider our request, ",VERB DET NOUN,"I hope you will | take account of our request, ",VERB NOUN ADP,4,RV VERB NOUN ADP,VERB VERB NOUN ADP,RV MD VB NN IN,True,False
2692,37,FV,False,Incorrectly using progressive aspect,"The first and most important thing is that modern technology has made our life easier, for instance the rice cooker is a great invention, all you have to do is | put rice in it and switch it on, it makes cooking more efficient. Furthermore, we use the computer and telephone a lot. Wherever you are, you can get in touch with people whenever you want. ",VERB NOUN ADP,"The first and most important thing is that modern technology has made our life easier, for instance the rice cooker is a great invention, all you have to do is | putting rice in it and switch it on, it makes cooking more efficient. Furthermore, we use the computer and telephone a lot. Wherever you are, you can get in touch with people whenever you want. ",VERB NOUN ADP,32,FV VERB NOUN ADP,AUX VERB NOUN ADP,FV VBZ VBG NN IN,True,False
1729,41,MD,True,Chinese has no articles and doesn't use classifiers in this situation,"I felt very upset about your advertisement was totally different from the musical show. Firstly, I could not buy a discount ticket as you mentioned. Secondly, the show started at 20:15 p.m. instead of 19:30 p.m . Thirdly, the theatre restaurant was closed. But the worst thing is the actors were not Danny Brook and Tina Truelove. , It was really | a letdown!! ",DET NOUN PUNCT,"I felt very upset about your advertisement was totally different from the musical show. Firstly, I could not buy a discount ticket as you mentioned. Secondly, the show started at 20:15 p.m. instead of 19:30 p.m . Thirdly, the theatre restaurant was closed. But the worst thing is the actors were not Danny Brook and Tina Truelove. , It was really | letdown!! ",ADJ PUNCT PUNCT,68,MD ADJ PUNCT PUNCT,ADV ADJ PUNCT PUNCT,MD RB JJ . .,True,True
1418,150,TV,False,Extra unecessary auxiliary added,"I was chosen to help at a pop concert by chance last month. At that time, I was so nervous because I did not know what to do. However, I was excited to meet lots of people and the pop star, Kelly Chen. When I first entered the concert hall, I was given a pass for working here. There were five other students, like me, who were waiting to help. We were sitting at the back of the concert hall and chatting with each other. I found that they were all Kelly's fans. We were told that we were responsible for decorating the hall. There were lots of decorations and I had to put the decorations in the right place. It was tiring work because I had to run from place to place to hang the decorations. After I had finished my work, I saw Kelly Chen walking into the concert hall. She smiled at me and said thank you to me. I was very happy at that time and I thought it was the happiest moment that I ever had. At last, the concert | started. There were many people at the show and I was sitting in a good seat to watch the concert. ",VERB PUNCT ADV,"I was chosen to help at a pop concert by chance last month. At that time, I was so nervous because I did not know what to do. However, I was excited to meet lots of people and the pop star, Kelly Chen. When I first entered the concert hall, I was given a pass for working here. There were five other students, like me, who were waiting to help. We were sitting at the back of the concert hall and chatting with each other. I found that they were all Kelly's fans. We were told that we were responsible for decorating the hall. There were lots of decorations and I had to put the decorations in the right place. It was tiring work because I had to run from place to place to hang the decorations. After I had finished my work, I saw Kelly Chen walking into the concert hall. She smiled at me and said thank you to me. I was very happy at that time and I thought it was the happiest moment that I ever had. At last, the concert | was started. There were many people at the show and I was sitting in a good seat to watch the concert. ",VERB VERB PUNCT,207,TV VERB VERB PUNCT,NOUN AUX VERB PUNCT,TV NN VBD VBN .,True,False
2760,105,FV,False,Incorrectly using past tense,"So I must find a way to help my great father. One day, I suddenly had a good idea. 'Why not go to the stock exchange?' I said to myself. Almost every day I went there and researched the exchange decline-line, which gave me lots of information . Finally, I decided to join in the dangerous game, which meant | losing everything or suddenly becoming a millionaire. With luck, I won by chance . ",VERB NOUN CCONJ,"So I must find a way to help my great father. One day, I suddenly had a good idea. 'Why not go to the stock exchange?' I said to myself. Almost every day I went there and researched the exchange decline-line, which gave me lots of information . Finally, I decided to join in the dangerous game, which meant | lost everything or suddenly becoming a millionaire. With luck, I won by chance . ",VERB NOUN CCONJ,71,FV VERB NOUN CCONJ,VERB VERB PRON CCONJ,FV VBD VBD NN CC,True,False
1511,249,TV,False,Incorrectly using progressive aspect,"We need light every day, not just at nighttime. We need lamplight in offices and schools and other places during the daytime. How wonderful life is since the invention of electric light. Here we | are just talking about the light we invented apart from natural light. ",VERB ADV VERB,"We need light every day, not just at nighttime. We need lamplight in offices and schools and other places during the daytime. How wonderful life is since the invention of electric light. Here we | just talk about the light we invented apart from natural light. ",ADV VERB ADP,38,TV ADV VERB ADP,PRON ADV VERB ADP,TV PRP RB VBP IN,True,False
