,error_type,Negative transfer?,Likely reason for mistake,incorrect_ud_tags,incorrect_ud_tags_padded,incorrect_ud_tags_unigram,incorrect_ud_tags_bigram,nlt,result
2488,UA,False,general grammar rules confusion,PRON,NOUN PRON ADP,PRON ADP,PRON ADP DET,False,True
2489,MN,False,Subject or object not specified,PUNCT,ADJ PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,False
2490,UT,False,"Overcorrection by adding ""to"" to show the object of transitive verbs",ADP,VERB ADP PROPN,ADP PROPN,ADP PROPN ADP,False,True
2491,FV,True,"Missing ""to"" for to-infinitive non-finite subordinate clauses",VERB,NOUN VERB ADP,VERB ADP,VERB ADP PRON,False,False
2492,MT,True,Chinese doesn't use the word in this context,PRON,VERB PRON SCONJ,PRON SCONJ,PRON SCONJ PRON,False,False
2494,UQ,True,Chinese would use word in the given context,NUM,ADP NUM DET,NUM DET,NUM DET NOUN,False,False
2495,MD,True,Chinese uses classifiers instead of articles in this case,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT DET,False,False
2496,UN,True,Chinese conventions conflict with English,NOUN,DET NOUN NOUN,NOUN NOUN,NOUN NOUN PUNCT,True,True
2497,FN,True,Missing plural,NOUN,DET NOUN VERB,NOUN VERB,NOUN VERB PART,True,True
2498,TV,True,Chinese generally expresses actions in present tense,VERB,NOUN VERB PART,VERB PART,VERB PART VERB,True,True
2499,MC,True,Chinese does not use conjunctions to join clauses,PRON,PUNCT PRON VERB,PRON VERB,PRON VERB PART,True,True
2501,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,PRON NOUN PUNCT,NOUN PUNCT,NOUN PUNCT DET,False,False
2503,MA,True,Chinese is a pro-drop language,VERB,CCONJ VERB VERB,VERB VERB,VERB VERB PUNCT,True,True
2505,FN,True,Missing plural,NOUN,ADV NOUN PUNCT,NOUN PUNCT,NOUN PUNCT CCONJ,False,False
2506,AGV,True,Not applying the 3rd person present tense suffix -s,VERB,ADV VERB PRON,VERB PRON,VERB PRON PRON,True,True
2507,AGV,True,Not applying the 3rd person present tense suffix -s,VERB,ADV VERB CCONJ,VERB CCONJ,VERB CCONJ PRON,True,True
2508,DA,True,Accusative case is preferred in Chinese,PRON,PRON PRON ADV,PRON ADV,PRON ADV VERB,True,True
2509,TV,False,Overcorrection,VERB,ADV VERB ADP,VERB ADP,VERB ADP NOUN,False,True
2510,MT,True,Chinese doesn't use the word in this context,NOUN,VERB NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PROPN,True,True
2511,UD,False,Chinese doesn't distinguish indefinite and definite articles like English,DET,ADP DET NOUN,DET NOUN,DET NOUN PUNCT,False,True
2512,FN,True,Missing plural,NOUN,ADP NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PROPN,True,True
2513,MC,False,Word omitted even though in the Chinese translation it would be there,PRON,DET PRON AUX,PRON AUX,PRON AUX ADV,False,True
2514,MA,True,Chinese is a pro-drop language,AUX,CCONJ AUX ADV,AUX ADV,AUX ADV ADJ,False,False
2515,RP,False,Overcorrection,PUNCT,PROPN PUNCT,PUNCT,PUNCT,True,False
2516,DD,False,Pronoun not used in Chinese,PRON,ADP PRON NOUN,PRON NOUN,PRON NOUN PUNCT,True,False
2518,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,DET NOUN PRON,NOUN PRON,NOUN PRON VERB,True,True
2519,TV,True,English words map to the same Chinese word,VERB,PRON VERB ADV,VERB ADV,VERB ADV VERB,True,True
2521,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,AUX NOUN NOUN,NOUN NOUN,NOUN NOUN PUNCT,True,True
2522,UT,False,Overcorrecting by introducing locations or time using prepositions,PART,NOUN PART VERB,PART VERB,PART VERB ADP,True,False
2524,MT,True,"Adding ""concerning""'s or ""for""'s Chinese equivalent would make the sentence more ""formal"" in Chinese",DET,DET NOUN,DET NOUN,DET NOUN PUNCT,False,False
2525,MP,True,Chinese uses commas to mark the end of a complete thought,PRON,NOUN PRON VERB,PRON VERB,PRON VERB VERB,True,True
2527,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN ADV,NOUN ADV,NOUN ADV PUNCT,True,True
2528,AGN,False,Overcorrection,NOUN,DET NOUN ADV,NOUN ADV,NOUN ADV PUNCT,True,False
2529,TV,False,-,AUX,PRON AUX ADJ,AUX ADJ,AUX ADJ CCONJ,False,True
2531,TV,False,Overcorrection,VERB,PRON VERB PUNCT,VERB PUNCT,VERB PUNCT ADV,False,True
2532,TV,False,Overcorrection,VERB,PRON VERB PUNCT,VERB PUNCT,VERB PUNCT ADV,False,True
2533,TV,True,Modal used for polite speech,VERB,ADV VERB PRON,VERB PRON,VERB PRON VERB,True,True
2534,MT,True,Chinese doesn't use the word in this context,DET,ADV DET NOUN,DET NOUN,DET NOUN PUNCT,False,False
2536,TV,True,Present tense used instead of present progressive,VERB,PROPN VERB DET,VERB DET,VERB DET NOUN,False,False
2537,UQ,False,Wordiness,DET,SCONJ DET NOUN,DET NOUN,DET NOUN ADP,False,True
2538,MD,True,Chinese has no articles and doesn't use classifiers in this situation,ADJ,ADP ADJ NOUN,ADJ NOUN,ADJ NOUN AUX,False,False
2539,MT,True,Grammatical to exclude or include the word in Chinese,PRON,VERB PRON PART,PRON PART,PRON PART NOUN,True,True
2540,FN,True,Missing plural,VERB,PART VERB ADP,VERB ADP,VERB ADP VERB,True,True
2541,MT,True,Grammatical to exclude or include the word in Chinese,PRON,VERB PRON PART,PRON PART,PRON PART NOUN,True,True
2542,FV,True,Progressive aspect not applied,NOUN,CCONJ NOUN ADP,NOUN ADP,NOUN ADP DET,False,False
2544,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADV PROPN VERB,PROPN VERB,PROPN VERB PRON,True,True
2545,RP,True,Word not capitalized,NOUN,DET NOUN VERB,NOUN VERB,NOUN VERB PRON,True,True
2547,UA,False,general grammar rules confusion,PRON,DET PRON PRON,PRON PRON,PRON PRON VERB,True,False
2548,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADV PROPN VERB,PROPN VERB,PROPN VERB PRON,True,True
2549,RP,True,Word not capitalized,NOUN,DET NOUN VERB,NOUN VERB,NOUN VERB PRON,True,True
2550,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN CCONJ,NOUN CCONJ,NOUN CCONJ ADV,False,False
2551,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN CCONJ,NOUN CCONJ,NOUN CCONJ ADV,False,False
2552,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,PUNCT PROPN AUX,PROPN AUX,PROPN AUX ADV,False,False
2553,RP,True,Punctuation error related to Spelling errors (missing space),NOUN,PUNCT NOUN PRON,NOUN PRON,NOUN PRON VERB,True,True
2554,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,ADP NOUN PART,NOUN PART,NOUN PART AUX,True,True
2555,FV,True,"Missing ""to"" for to-infinitive non-finite subordinate clauses",AUX,NOUN AUX NOUN,AUX NOUN,AUX NOUN PUNCT,False,False
2556,MC,True,Chinese does not use conjunctions to join clauses,PRON,ADV PRON VERB,PRON VERB,PRON VERB NOUN,True,True
2557,TV,True,Tense doesn't match the rest of the sentence,VERB,PRON VERB NOUN,VERB NOUN,VERB NOUN ADP,False,False
2558,DN,False,Spelling error,PROPN,PUNCT PROPN CCONJ,PROPN CCONJ,PROPN CCONJ DET,False,True
2559,UV,False,Unnecessary auxiliary added,VERB,CCONJ VERB DET,VERB DET,VERB DET NOUN,False,True
2560,AGA,False,Used plural form instead of singular form,DET,DET AUX,DET AUX,DET AUX PRON,False,True
2561,AGV,True,3rd person plural verb form used instead of 3rd person singular form,AUX,DET AUX PRON,AUX PRON,AUX PRON PRON,False,False
2562,FN,True,Missing plural,NOUN,ADJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,True,True
2563,MA,True,Chinese is a pro-drop language,ADV,VERB ADV PUNCT,ADV PUNCT,ADV PUNCT CCONJ,False,False
2564,AGN,True,Number error,NOUN,NUM NOUN CCONJ,NOUN CCONJ,NOUN CCONJ NOUN,True,True
2565,MD,True,Chinese has no articles and doesn't use classifiers in this situation,ADV,AUX ADV ADJ,ADV ADJ,ADV ADJ ADP,False,False
2566,RP,True,Chinese in many contexts use colons in letters,PUNCT,PROPN PUNCT,PUNCT,PUNCT,True,True
2567,UA,False,Overcorrection,PRON,NOUN PRON ADP,PRON ADP,PRON ADP NOUN,False,True
2568,MT,False,Incorrect/incomplete expression used,NOUN,NOUN NOUN PART,NOUN PART,NOUN PART VERB,True,False
2569,MT,True,Chinese doesn't use the word in this context,DET,VERB DET ADJ,DET ADJ,DET ADJ NOUN,False,False
2571,FN,False,Number disagreement,NOUN,ADJ NOUN PUNCT,NOUN PUNCT,NOUN PUNCT DET,False,True
2574,MP,True,Chinese uses commas to mark the end of a complete thought,SCONJ,NOUN SCONJ PRON,SCONJ PRON,SCONJ PRON AUX,False,False
2576,MP,True,Chinese uses commas to mark the end of a complete thought,SCONJ,NOUN SCONJ PRON,SCONJ PRON,SCONJ PRON AUX,False,False
2577,TV,True,Chinese generally expresses actions in present tense,AUX,PRON AUX PART,AUX PART,AUX PART VERB,False,False
2578,RP,False,Inappropriate capitalization in the middle of sentence,ADV,PROPN ADV,ADV,ADV,False,True
2580,FN,True,Missing plural,NOUN,VERB NOUN AUX,NOUN AUX,NOUN AUX VERB,False,False
2581,AGV,False,Incorrect application of 3rd person present tense (e.g. tagging on the suffix -s),VERB,NOUN VERB ADV,VERB ADV,VERB ADV CCONJ,False,True
2582,UT,False,Verb/word prior of the preposition conveys the same message,ADP,ADP ADP DET,ADP DET,ADP DET NOUN,False,True
2583,UA,False,general grammar rules confusion,DET,SCONJ DET DET,DET DET,DET DET NOUN,False,True
2584,UP,False,Overgeneralization of colon usage to introduce lists,PUNCT,SCONJ PUNCT DET,PUNCT DET,PUNCT DET NOUN,False,True
2585,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,SCONJ PROPN NOUN,PROPN NOUN,PROPN NOUN PUNCT,True,True
2586,UP,False,Error that native speakers would make as well,PUNCT,NOUN PUNCT X,PUNCT X,PUNCT X PUNCT,False,True
2587,M,True,Chinese does not distinguish between mass and count nouns,NOUN,DET NOUN AUX,NOUN AUX,NOUN AUX NOUN,False,False
2588,UD,False,Overcorrection,DET,AUX DET NOUN,DET NOUN,DET NOUN ADP,False,True
2589,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,SCONJ PROPN NOUN,PROPN NOUN,PROPN NOUN PUNCT,True,True
2590,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,SCONJ PROPN NOUN,PROPN NOUN,PROPN NOUN PUNCT,True,True
2591,M,True,Chinese conventions conflict with English,NOUN,DET NOUN PUNCT,NOUN PUNCT,NOUN PUNCT ADP,False,False
2592,DA,False,Using possessive case inappropriately,DET,VERB DET ADJ,DET ADJ,DET ADJ NOUN,False,True
2593,RD,False,Wrong determiner used since Chinese doesn't use determiner here,DET,VERB DET NOUN,DET NOUN,DET NOUN PUNCT,False,True
2594,RP,False,Inappropriate capitalization in the middle of sentence,ADJ,PUNCT ADJ NOUN,ADJ NOUN,ADJ NOUN VERB,True,False
2595,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADP PROPN PUNCT,PROPN PUNCT,PROPN PUNCT NOUN,True,True
2597,UP,False,Error that native speakers would make as well,PUNCT,CCONJ PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,False
2598,CN,True,Chinese does not distinguish between mass and count nouns,NOUN,ADJ NOUN ADP,NOUN ADP,NOUN ADP ADJ,False,False
2599,FN,True,Missing plural,NOUN,DET NOUN PUNCT,NOUN PUNCT,NOUN PUNCT PRON,True,True
2603,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,True
2604,MV,True,Chinese conventions conflict with English,VERB,PROPN VERB PART,VERB PART,VERB PART VERB,True,True
2606,MV,True,Chinese conventions conflict with English,VERB,PROPN VERB PART,VERB PART,VERB PART VERB,True,True
2608,TV,True,Missing auxiliary with tense errors,ADV,PRON ADV PUNCT,ADV PUNCT,ADV PUNCT,True,True
2609,UT,False,Overgeneralization of word pairs,ADP,VERB ADP PUNCT,ADP PUNCT,ADP PUNCT,False,True
2610,MT,True,Chinese doesn't use the word in this context,PROPN,VERB PROPN PUNCT,PROPN PUNCT,PROPN PUNCT PRON,False,False
2611,MP,True,Chinese uses commas to mark the end of a complete thought,ADV,NOUN ADV ADP,ADV ADP,ADV ADP NOUN,False,False
2612,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,ADV PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,True
2613,MT,True,Grammatical to exclude or include the word in Chinese,DET,VERB DET NOUN,DET NOUN,DET NOUN PUNCT,False,False
2614,MP,True,Chinese uses commas to mark the end of a complete thought,ADV,NOUN ADV ADP,ADV ADP,ADV ADP NOUN,False,False
2615,RP,True,Chinese uses commas to mark the end of a complete thought,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,True
2616,AGN,True,Number error,NOUN,ADP NOUN ADV,NOUN ADV,NOUN ADV AUX,False,False
2617,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,VERB NOUN PUNCT,NOUN PUNCT,NOUN PUNCT,True,True
2619,AGV,True,3rd person singular form used instead of 3rd person plural verb form,AUX,PRON AUX ADJ,AUX ADJ,AUX ADJ ADP,False,False
2620,AGA,False,Using 'It' incorrectly,PRON,ADP PRON PUNCT,PRON PUNCT,PRON PUNCT,True,False
2621,FV,False,Incorrectly using progressive aspect,VERB,VERB DET,VERB DET,VERB DET NOUN,False,True
2623,RA,False,general grammar rules confusion,PRON,NOUN PRON PRON,PRON PRON,PRON PRON AUX,False,True
2625,UP,False,Error that native speakers would make as well,PUNCT,NOUN PUNCT AUX,PUNCT AUX,PUNCT AUX SCONJ,False,True
2629,RD,True,Chinese uses a character that maps a determiner in this case,DET,VERB DET ADJ,DET ADJ,DET ADJ NOUN,False,False
2632,UP,False,Error that native speakers would make as well,PUNCT,NUM PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,False
2634,TV,False,Incorrectly using progressive aspect,VERB,PRON VERB ADP,VERB ADP,VERB ADP DET,False,True
2635,MD,True,Chinese has no articles and doesn't use classifiers in this situation,PROPN,ADP PROPN PROPN,PROPN PROPN,PROPN PROPN PUNCT,False,False
2638,MP,True,Chinese uses commas to mark the end of a complete thought,ADP,NOUN ADP DET,ADP DET,ADP DET NOUN,False,False
2642,UD,False,Overcorrection,DET,PUNCT DET PROPN,DET PROPN,DET PROPN CCONJ,False,True
2643,L,False,Misunderstanding of word usage/meaning,ADP,PUNCT ADP NOUN,ADP NOUN,ADP NOUN AUX,False,True
2644,MV,True,Missing modal,ADJ,AUX ADJ PUNCT,ADJ PUNCT,ADJ PUNCT,False,False
2645,MP,True,Chinese sentence structure differs from English, ,PRON, , ,False,False
2648,FN,True,Missing plural,PROPN,PUNCT PROPN VERB,PROPN VERB,PROPN VERB VERB,True,True
2650,FD,False,Wrong determiner used,DET,VERB DET ADJ,DET ADJ,DET ADJ NOUN,False,True
2653,RQ,False,Quantifier would not be used in this context in Chinese,DET,AUX DET NOUN,DET NOUN,DET NOUN PART,True,False
2655,UT,False,Overcorrecting for prepositions introducing subordinate phrases,ADP,NOUN ADP PART,ADP PART,ADP PART VERB,True,False
2656,UT,False,Overgeneralization of word pairs,ADP,VERB ADP NOUN,ADP NOUN,ADP NOUN PUNCT,False,True
2657,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,SCONJ NOUN VERB,NOUN VERB,NOUN VERB VERB,True,True
2658,AGA,False,Using 'It' incorrectly,PRON,PUNCT PRON VERB,PRON VERB,PRON VERB PART,True,False
2660,AGD,False,Equivalent word exists but is not used,SCONJ,PUNCT SCONJ NOUN,SCONJ NOUN,SCONJ NOUN VERB,True,False
2661,UP,False,Error that native speakers would make as well,PUNCT,PUNCT PUNCT DET,PUNCT DET,PUNCT DET NOUN,False,True
2662,AGN,False,Overcorrection,NOUN,ADP NOUN VERB,NOUN VERB,NOUN VERB ADV,True,False
2664,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,CCONJ NOUN VERB,NOUN VERB,NOUN VERB AUX,True,True
2666,M,True,Chinese conventions conflict with English,ADV,NOUN ADV PRON,ADV PRON,ADV PRON VERB,True,True
2668,TV,True,Present perfect used instead of past perfect,AUX,PRON AUX VERB,AUX VERB,AUX VERB SCONJ,False,False
2669,TV,True,Present perfect used instead of past perfect,AUX,PRON AUX VERB,AUX VERB,AUX VERB SCONJ,False,False
2671,AGV,True,3rd person singular form used instead of 3rd person plural verb form,AUX,NOUN AUX NUM,AUX NUM,AUX NUM CCONJ,False,False
2673,UT,False,Overgeneralization of word pairs,ADP,CCONJ ADP DET,ADP DET,ADP DET NOUN,False,True
2675,TV,True,English words map to the same Chinese word,VERB,PRON VERB VERB,VERB VERB,VERB VERB DET,True,True
2676,RP,False,Error that native speakers would make as well,PUNCT,NOUN PUNCT DET,PUNCT DET,PUNCT DET ADJ,False,True
2677,MT,True,Chinese sentence structure differs from English,PART,ADJ PART PART,PART PART,PART PART VERB,True,True
2679,UY,True,Chinese would use word in this context,ADV,PUNCT ADV ADP,ADV ADP,ADV ADP DET,False,False
2680,MP,True,Chinese uses commas to mark the end of a complete thought,PRON,ADV PRON VERB,PRON VERB,PRON VERB PRON,True,True
2681,MV,True,Chinese conventions conflict with English,ADP,PUNCT ADP DET,ADP DET,ADP DET ADJ,False,False
2682,TV,True,Chinese generally expresses actions in present tense,VERB,PRON VERB ADP,VERB ADP,VERB ADP DET,False,False
2685,MA,False,Pronoun can also be used here in Chinese,AUX,CCONJ AUX VERB,AUX VERB,AUX VERB PRON,False,True
2686,TV,True,Chinese generally expresses actions in present tense,VERB,PROPN VERB PRON,VERB PRON,VERB PRON DET,False,False
2687,MP,True,Chinese uses commas to mark the end of a complete thought,PART,CCONJ PART ADV,PART ADV,PART ADV PUNCT,True,True
2689,FV,False,Incorrectly using progressive aspect,VERB,ADP VERB PROPN,VERB PROPN,VERB PROPN PUNCT,True,False
2691,MT,True,Chinese doesn't use the word in this context,DET,PROPN DET NOUN,DET NOUN,DET NOUN ADP,False,False
2692,MP,False,Spelling error,NOUN,PUNCT NOUN CCONJ,NOUN CCONJ,NOUN CCONJ NOUN,True,False
2693,MV,True,Chinese conventions conflict with English,ADJ,AUX ADJ SCONJ,ADJ SCONJ,ADJ SCONJ PRON,False,False
2694,FV,True,Progressive aspect not applied,VERB,CCONJ VERB DET,VERB DET,VERB DET PROPN,False,False
2695,TV,True,English words map to the same Chinese word,VERB,PRON VERB VERB,VERB VERB,VERB VERB DET,True,True
2696,FV,True,Progressive aspect not applied,NOUN,NOUN NOUN ADP,NOUN ADP,NOUN ADP DET,False,False
2699,M,True,Incorrect introduction of subordinate clause or modifiers,CCONJ,VERB CCONJ VERB,CCONJ VERB,CCONJ VERB DET,False,False
2700,FN,False,Number disagreement,NOUN,CCONJ NOUN NOUN,NOUN NOUN,NOUN NOUN PUNCT,True,False
2701,MP,True,Chinese uses commas to mark the end of a complete thought,AUX,NOUN AUX PART,AUX PART,AUX PART VERB,False,False
2702,FV,False,Incorrectly using progressive aspect,AUX,VERB AUX VERB,AUX VERB,AUX VERB ADP,False,True
2703,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,SCONJ NOUN PART,NOUN PART,NOUN PART ADJ,True,True
2704,FN,True,Missing plural,NOUN,ADJ NOUN PRON,NOUN PRON,NOUN PRON VERB,True,True
2705,TV,True,English words map to the same Chinese word,VERB,PRON VERB VERB,VERB VERB,VERB VERB NOUN,True,True
2706,UP,False,Overcorrection,NOUN,VERB NOUN PART,NOUN PART,NOUN PART ADP,True,False
2707,RD,True,Chinese could use a classifier in this context,DET,VERB DET NOUN,DET NOUN,DET NOUN PART,True,True
2708,FN,True,Missing plural,NOUN,ADJ NOUN ADV,NOUN ADV,NOUN ADV SCONJ,False,False
2710,UP,False,Error that native speakers would make as well,PUNCT,ADP PUNCT AUX,PUNCT AUX,PUNCT AUX DET,False,True
2711,RP,True,Word not capitalized,INTJ,PUNCT INTJ ADV,INTJ ADV,INTJ ADV PRON,False,False
2712,UD,False,Overcorrection,DET,PUNCT DET NOUN,DET NOUN,DET NOUN AUX,False,True
2717,UP,False,Error that native speakers would make as well,PUNCT,ADV PUNCT PRON,PUNCT PRON,PUNCT PRON AUX,False,True
2718,UP,False,Error that native speakers would make as well,PUNCT,ADV PUNCT PRON,PUNCT PRON,PUNCT PRON AUX,False,True
2720,MP,True,Chinese uses commas to mark the end of a complete thought,ADJ,NOUN ADJ ADP,ADJ ADP,ADJ ADP NOUN,False,False
2722,RP,True,Punctuation error related to Spelling errors (missing space),PROPN,DET PROPN PUNCT,PROPN PUNCT,PROPN PUNCT VERB,True,True
2723,UD,False,Overcorrection; Number error,DET,VERB DET NOUN,DET NOUN,DET NOUN ADP,False,True
2725,MD,True,Chinese uses classifiers instead of articles in this case,ADV,AUX ADV ADJ,ADV ADJ,ADV ADJ NOUN,False,False
2728,L,True,Phrases map to the same Chinese phrase,ADJ,VERB ADJ NOUN,ADJ NOUN,ADJ NOUN CCONJ,False,False
2729,CN,True,Chinese does not distinguish between mass and count nouns,NOUN,ADP NOUN CCONJ,NOUN CCONJ,NOUN CCONJ VERB,True,True
2730,MP,True,Chinese sentence structure differs from English,PRON,NOUN PRON VERB,PRON VERB,PRON VERB ADV,False,False
2731,MV,True,Chinese conventions conflict with English,ADJ,CCONJ ADJ ADP,ADJ ADP,ADJ ADP NOUN,False,False
2733,UD,False,Overcorrection,DET,ADP DET NOUN,DET NOUN,DET NOUN CCONJ,False,True
2734,MP,True,Chinese uses commas to mark the end of a complete thought,ADP,ADV ADP DET,ADP DET,ADP DET NOUN,False,False
2735,MP,True,Chinese uses commas to mark the end of a complete thought,ADP,ADV ADP DET,ADP DET,ADP DET NOUN,False,False
2736,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,PART NOUN PART,NOUN PART,NOUN PART NOUN,True,True
2737,FN,False,Number disagreement,NOUN,DET NOUN PART,NOUN PART,NOUN PART NOUN,True,False
2738,TV,True,Chinese generally expresses actions in present tense,VERB,PRON VERB PART,VERB PART,VERB PART VERB,True,True
2740,TV,True,English words map to the same Chinese word,VERB,PRON VERB AUX,VERB AUX,VERB AUX ADV,False,False
2744,MN,True,Word prior or after contains the word in Chinese equivalent,PUNCT,NOUN PUNCT ADV,PUNCT ADV,PUNCT ADV PRON,False,False
2745,MY,True,Relative adverb missing,PRON,PUNCT PRON VERB,PRON VERB,PRON VERB PART,True,True
2746,AGV,True,3rd person plural verb form used instead of 3rd person singular form,AUX,ADV AUX DET,AUX DET,AUX DET NOUN,False,False
2747,TV,False,Overcorrection,VERB,PRON VERB PUNCT,VERB PUNCT,VERB PUNCT,True,False
2748,TV,True,English words map to the same Chinese word,VERB,PRON VERB VERB,VERB VERB,VERB VERB ADV,True,True
2751,RP,True,Word not capitalized,PROPN,PUNCT PROPN PUNCT,PROPN PUNCT,PROPN PUNCT PROPN,False,False
2752,MN,True,Word prior or after contains the word in Chinese equivalent,CCONJ,PROPN CCONJ ADJ,CCONJ ADJ,CCONJ ADJ NOUN,False,False
2753,DY,False,Spelling error,ADV,AUX ADV ADJ,ADV ADJ,ADV ADJ ADP,False,True
2756,MD,True,Chinese has no articles and doesn't use classifiers in this situation,ADJ,ADP ADJ NOUN,ADJ NOUN,ADJ NOUN PART,True,True
2757,RD,True,Grammatical to exclude or include the word in Chinese,DET,SCONJ DET NOUN,DET NOUN,DET NOUN ADP,False,False
2759,FV,True,Progressive aspect not applied,VERB,NOUN VERB ADJ,VERB ADJ,VERB ADJ ADJ,False,False
2760,RP,True,Word not capitalized,ADJ,ADJ ADJ NOUN,ADJ NOUN,ADJ NOUN PART,True,True
2761,AGN,True,Number error,NOUN,DET NOUN ADP,NOUN ADP,NOUN ADP NOUN,False,False
2762,FN,True,Missing plural,NOUN,NOUN NOUN PUNCT,NOUN PUNCT,NOUN PUNCT NOUN,True,True
2763,FN,True,Missing plural,NOUN,NOUN NOUN PUNCT,NOUN PUNCT,NOUN PUNCT CCONJ,False,False
2764,M,True,Incorrect introduction of subordinate clause or modifiers,VERB,DET VERB PUNCT,VERB PUNCT,VERB PUNCT PRON,True,True
2765,MD,True,Chinese has no articles and doesn't use classifiers in this situation,NOUN,NOUN NOUN PART,NOUN PART,NOUN PART ADJ,True,True
2766,AGN,False,Incorrect gender used,PROPN,ADJ PROPN PROPN,PROPN PROPN,PROPN PROPN PROPN,False,True
2767,UC,False,Overcorrection,CCONJ,PRON CCONJ PART,CCONJ PART,CCONJ PART VERB,True,False
2771,FV,False,Incorrectly using progressive aspect,VERB,ADP VERB DET,VERB DET,VERB DET NOUN,False,True
2772,MV,True,Chinese conventions conflict with English,ADV,PRON ADV ADJ,ADV ADJ,ADV ADJ ADP,False,False
2773,MP,True,Chinese uses commas to mark the end of a complete thought,ADV,PROPN ADV PUNCT,ADV PUNCT,ADV PUNCT CCONJ,False,False
2774,TV,True,English words map to the same Chinese word,VERB,PRON VERB VERB,VERB VERB,VERB VERB ADP,False,False
2776,M,True,Chinese conventions conflict with English,ADJ,VERB ADJ NOUN,ADJ NOUN,ADJ NOUN ADP,False,False
2777,MP,True,Chinese uses commas to mark the end of a complete thought,ADV,PROPN ADV PUNCT,ADV PUNCT,ADV PUNCT CCONJ,False,False
2778,UV,True,Modal used for polite speech,VERB,PRON VERB VERB,VERB VERB,VERB VERB AUX,True,True
2779,M,True,Chinese does not have one verb direclty following another,ADJ,VERB ADJ ADJ,ADJ ADJ,ADJ ADJ NOUN,False,False
2780,UD,False,Overcorrection,DET,ADP DET NOUN,DET NOUN,DET NOUN PUNCT,False,True
2781,RA,False,Random pronoun used instead of null pronoun,PRON,PUNCT PRON VERB,PRON VERB,PRON VERB PART,True,False
2782,MV,False,Missing word is important to the sentence,ADV,PART ADV ADJ,ADV ADJ,ADV ADJ ADV,False,True
2783,RD,True,Chinese uses a character that maps a determiner in this case,DET,ADP DET NOUN,DET NOUN,DET NOUN DET,False,False
2784,RP,False,Overcorrection,PUNCT,NOUN PUNCT PRON,PUNCT PRON,PUNCT PRON VERB,True,False
2785,DN,False,Spelling error,NOUN,VERB NOUN ADP,NOUN ADP,NOUN ADP NUM,False,True
2787,TV,True,Chinese generally expresses actions in present tense,VERB,ADV VERB PRON,VERB PRON,VERB PRON ADP,False,False
2788,TV,True,Chinese generally expresses actions in present tense,AUX,PRON AUX ADV,AUX ADV,AUX ADV ADJ,False,False
2789,DN,True,"Chinese verbs, adjectives, and nouns sometimes are the same",ADJ,DET ADJ ADP,ADJ ADP,ADJ ADP DET,False,False
2792,FV,False,Incorrectly using past tense,VERB,VERB VERB NOUN,VERB NOUN,VERB NOUN ADV,True,False
2793,M,True,Chinese does not have one verb direclty following another,AUX,NOUN AUX CCONJ,AUX CCONJ,AUX CCONJ DET,False,False
2794,MT,True,Grammatical to exclude or include the word in Chinese,DET,VERB DET NOUN,DET NOUN,DET NOUN ADP,False,False
2795,FV,True,"Missing ""to"" for to-infinitive non-finite subordinate clauses",VERB,VERB VERB ADV,VERB ADV,VERB ADV ADJ,False,False
2797,CQ,True,Phrases map to the same Chinese phrase,ADJ,ADV ADJ NOUN,ADJ NOUN,ADJ NOUN PUNCT,True,True
2798,UA,False,general grammar rules confusion,SCONJ,PRON SCONJ DET,SCONJ DET,SCONJ DET NOUN,False,True
